surface	method	host	path	class	const	evidence_file
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/fbfgstinDocumentUpload	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/generateRentalAgreement	WRITE		9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbfOnboarding/getAddressList	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/getCurrentState	UNKNOWN_READLIKE	fetchApi	9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbfOnboarding/getEInvoiceOnboardingDetails	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/getRequiredDocuments	UNKNOWN_READLIKE	fetchApi	9258.26178f4d4422b76c6a94.js
seller	GET	seller.flipkart.com	/napi/fbfOnboarding/getReturnAddressList	READ		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/markLocationAsVerified	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/saveAsDraft	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/saveTermsSelection	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/storeNicCredentials	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/uploadDocument	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/uploadVeritas	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbflite/generatePicklist	WRITE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbflite/getOrderHistory	UNKNOWN_READLIKE	fetchApi	fbflite.3ef917d2d7962b242054.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbflite/printPickList	UNKNOWN_READLIKE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fdp/batch-events	UNKNOWN	updateApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/acceptApplication	WRITE		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/create-lead	WRITE		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/declineApplication	WRITE		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/fkgrowthcapital/describe-offer	UNKNOWN		304.fa6a0b601c260dd26c66.js
