group_id,product_group,subgroup_id,sub_group,skus
146,Spices,578,Masala,83
146,Spices,610,Mulethi,1
146,Spices,634,Others,2
146,Spices,662,Pickles,16
146,Spices,679,Pulaw,1
146,Spices,707,Sambar,1
146,Spices,736,Sirka,1
146,Spices,750,Soda,2
146,Spices,755,Spices,215
146,Spices,658,Spices Paste,10
146,Spices,823,Upma,5
146,Spices,828,Vada,2
146,Spices,835,Vinegar,7
147,Sports,267,Badminton,21
147,Sports,269,Ball,66
147,Sports,278,Bat,16
147,Sports,339,Carrom Coins,6
147,Sports,340,Carrom Strickers,4
147,Sports,357,Chess,5
147,Sports,855,Cricket Bat,4
147,Sports,1025,Hockey,1
147,Sports,532,Jumping Rope,1
147,Sports,868,Ludo,1
147,Sports,869,Ludo Coins,1
147,Sports,734,Shuttle Cock,10
148,Stationary,853,Acrylic Color,1
148,Stationary,293,Binder Clip,1
148,Stationary,330,Calculatar,7
148,Stationary,336,Card,4
148,Stationary,337,Card Holder,2
148,Stationary,342,Carry Bag,11
148,Stationary,347,Cd Cover,1
148,Stationary,367,Clauch Pencil,13
148,Stationary,368,Clip,1
148,Stationary,369,Clip Board,3
148,Stationary,380,Color Set,14
148,Stationary,381,Colour Pencil,19
148,Stationary,383,Compass,6
148,Stationary,393,Corraction Pen,2
148,Stationary,394,Correction Pen,3
148,Stationary,423,Drawing Book,13
148,Stationary,444,Envelop,6
148,Stationary,854,Fabric Paint,6
148,Stationary,455,Fevicol,11
148,Stationary,474,Geometry Box,13
148,Stationary,480,Glitter Pen,3
148,Stationary,481,Glitter Tubes,5
148,Stationary,492,Greetings Card,1
148,Stationary,674,Kit Bag,7
148,Stationary,577,Marker Pen,22
148,Stationary,623,Needles,1
148,Stationary,630,Note Book,137
148,Stationary,643,Paper,4
148,Stationary,652,Pen,224
148,Stationary,653,Pen Refill,7
148,Stationary,654,Pen Stand,5
148,Stationary,655,Pencil,30
148,Stationary,656,Pencil Box,16
148,Stationary,715,Scale,12
148,Stationary,873,Scissor,8
148,Stationary,720,Sharpener,5
148,Stationary,725,Sheets,12
148,Stationary,738,Sketch Pen,16
148,Stationary,762,Stationary,479
148,Stationary,763,Stationary Kit,11
149,Suits & Dresses,486,Gown,1
150,Sweet,493,Grocery,1
151,Sweets,590,Menu Items,11
178,Tandoori,913,Cheese Naan With Gravy,1
178,Tandoori,939,Kulcha Amritsari,5
178,Tandoori,952,Naan,4
