WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-BT	FG0000395	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	102	0.000000	0.000000	0.000000
BH-BT	FG0000396	JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000	0.000000	0.000000
BH-BT	FG0000397	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	102	1.000000	1.000000	0.000000
BH-BT	FG0000398	JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000	0.000000	0.000000
BH-BT	FG0000399	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	102	5.000000	5.000000	0.000000
BH-BT	FG0000400	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	102	24.000000	24.000000	0.000000
BH-BT	FG0000404	COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS	102	85.000000	85.000000	0.000000
BH-BT	FG0000405	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	102	25.000000	25.000000	0.000000
BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	102	29463.000000	28900.000000	563.000000
BH-BT	FG0000408	COLD PRESS 1 LTR (NIRMAL RISHI ) 24 PCS	102	3720.000000	0.000000	3720.000000
BH-BT	FG0000417	COLD PRESS SUNFLOWER 5LTR 5 PCS	102	3.000000	0.000000	3.000000
BH-BT	FG0000418	SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE	102	2891.000000	-2405.000000	5296.000000
BH-BT	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	102	742.000000	742.000000	0.000000
BH-BT	FG0000423	COLD PRESS SUNFLOWER 1 LTR 24 PCS	102	16.000000	16.000000	0.000000
BH-BT	FG0000441	COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH	102	2890.000000	2890.000000	0.000000
BH-BT	FG0000443	FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS	102	95.000000	0.000000	95.000000
BH-BT	FG0000454	COLD PRESS GROUNDNUT 500 MLS 24 PCS	102	576.000000	576.000000	0.000000
BH-PF	FB0000011	POMACE OLIVE OIL 1 + 1 LTR	102	0.000000	-160.000000	160.000000
BH-PF	FG0000004	COLD PRESS 5 LTR 4 PCS	102	9160.000000	9000.000000	160.000000
BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	102	0.000000	-927.000000	927.000000
BH-PF	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	102	272.000000	-567.000000	839.000000
BH-PF	FG0000009	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS	102	0.000000	-98.000000	98.000000
BH-PF	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	102	404.000000	-942.000000	1346.000000
BH-PF	FG0000012	MUSTARD PAKKI GHANI 5 LTR 4 PCS	102	0.000000	-4.000000	4.000000
BH-PF	FG0000013	REFINED OIL 1000 MLS	102	0.000000	-1.000000	1.000000
BH-PF	FG0000014	MINIATURE OLIVE 100 MLS 24 PCS	102	0.000000	-192.000000	192.000000
BH-PF	FG0000015	REFINED OIL 15 LTR	102	1728.000000	1230.000000	498.000000
BH-PF	FG0000016	REFINED OIL 2 LTR	102	0.000000	-2.000000	2.000000
BH-PF	FG0000020	REFINED OIL 5 LTR	102	0.000000	-6.000000	6.000000
BH-PF	FG0000021	REFINED OIL 1 LTR POUCH 12 PCS	102	5820.000000	5745.000000	75.000000
BH-PF	FG0000023	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED	102	0.000000	-7.000000	7.000000
BH-PF	FG0000024	COLD PRESS 1 LTR 24 PCS	102	0.000000	-54.000000	54.000000
BH-PF	FG0000028	POMACE OLIVE 1 LTR 16 PCS	102	8160.000000	6970.000000	1190.000000
BH-PF	FG0000029	MUSTARD PAKKI GHANI 2 LTR 10 PCS	102	0.000000	0.000000	0.000000
