WHS	ITEMCODE	ITEMNAME	ONHAND
BH-BT	FG0000139	SANO SUNFLOWER OIL 5 LTR 4 PCS	0.000000
BH-BT	FG0000147	SANO EXTRA LIGHT OLIVE 1 LTR 16 PCS	0.000000
BH-BT	FG0000153	COLD PRESS 5 LTR + SANO EXTRA LIGHT OLIVE 1 LTR 4 PCS	0.000000
BH-BT	FG0000156	CANOLA OIL 100 MLS 20 PCS	0.000000
BH-BT	FG0000159	COLD PRESS 4 LTR + 1 LTR 5 PCS	0.000000
BH-BT	FG0000160	COLD PRESS 4 LTR 5 PCS	0.000000
BH-BT	FG0000162	SANO OLIVE CLASSIC 1 LTR 16 PCS	0.000000
BH-BT	FG0000163	EXTRA VIRGIN COCONUT OIL 200 MLS 36 PCS	0.000000
BH-BT	FG0000164	EXTRA VIRGIN OLIVE 200 MLS 36 PCS	0.000000
BH-BT	FG0000165	CHIA SEEDS 200 GMS 1 PCS	0.000000
BH-BT	FG0000166	CHIA SEEDS 400 GMS 1 PCS	0.000000
BH-BT	FG0000167	CHIA SEEDS 800 GMS 1 PCS	0.000000
BH-BT	FG0000170	SOYABEAN OIL 13 KGS	0.000000
BH-BT	FG0000176	COLD PRESS 4 LTR + POMACE OLIVE 1 LTR 5 PCS	0.000000
BH-BT	FG0000178	MUSTARD KACHI GHANI 15 KGS	0.000000
BH-BT	FG0000180	BASIL SEEDS 200 GMS 1 PCS	0.000000
BH-BT	FG0000181	SUNFLOWER SEEDS 200 GMS 1 PCS	0.000000
BH-BT	FG0000182	PUMPKIN SEEDS 200 GMS 1 PCS	0.000000
BH-BT	FG0000190	SLICED OXIDIZED BLACK OLIVES 3 KGS 6 PCS	0.000000
